date,lat,lng,elevation,mean_temp,pano_id,season
2022-04,-0.6606059308119667,-79.98441428141744,51.0,25.307142857142857,CAoSFkNJSE0wb2dLRUlDQWdJRE9uWlgtYUE.,spring
2022-09,-1.898741391503288,-44.68076516768277,17.0,26.478571428571428,Kj2btV5y5gTopE4rgSt9Ow,fall
2024-12,-10.29402765002187,-41.3808530747928,797.0,26.42142857142857,jdOVogxw1CKylYtv7_CXMg,winter
2023-11,-10.50396935916431,-39.95801672901039,411.0,28.099999999999998,RCPrd67xYBS0FGOCM1M0UQ,fall
2017-08,-10.53447868952784,-76.16394886160413,3521.0,8.72857142857143,CAoSFkNJSE0wb2dLRUlDQWdJQ0UxLWp4YlE.,summer
2024-07,-10.63316112523685,-59.37101384562512,293.0,25.45,O75I1laIEzxSXDB7qllhOA,summer
2015-07,-11.04268331959354,-62.58385555611444,207.0,26.142857142857142,CAoSFkNJSE0wb2dLRUlDQWdJQzQ5b3J4TXc.,summer
2024-12,-11.28721636691313,-39.74582468797905,373.0,28.15357142857143,1WD6NMd1mENjPA5WSqotGg,winter
2024-07,-11.51328443621786,-58.83628600015057,357.0,24.692857142857143,kaAK-lS6z5iH9l9v9qugBg,summer
2022-02,-11.80520577913624,-39.90453644458914,285.0,26.082142857142856,CAoSFkNJSE0wb2dLRUlDQWdJRG1sNUhXT0E.,winter
2023-09,-11.83736088157045,-49.51473258339673,249.0,30.039285714285715,NahfIPeL04Iwgo5_Gr5qWw,fall
2023-12,-11.83860704745434,-41.62098316696515,820.0,25.685714285714287,eBr6AYLLn86_Ec_1vJknVw,winter
2019-10,-11.87307500893436,-66.03627439499661,139.0,25.417857142857144,CAoSF0NJSE0wb2dLRUlDQWdJRHF5NDZRclFF,fall
2019-01,-12.03637103468505,-71.19195933029359,326.0,25.05,CAoSFkNJSE0wb2dLRUlDQWdJRHFqYUt5V0E.,winter
2012-11,-12.15064984739666,-44.70061424288158,733.0,23.642857142857142,tnZAP3DkptDmYk-96hpBrw,fall
2025-03,-12.28928580868813,-39.25193900876491,229.0,26.607142857142858,CAoSF0NJSE0wb2dLRUlDQWdNQ1FfdWlnOGdF,spring
2016-08,-12.48372956699892,-39.25655362567353,233.0,22.157142857142855,CAoSF0NJSE0wb2dLRUlDQWdJQ2swcUhwb3dF,summer
2022-11,-12.83062621035293,-40.10430570890013,274.0,24.239285714285717,CAoSF0NJSE0wb2dLRUlDQWdJRC1qUGlhbGdF,fall
2012-02,-12.84145906620333,-42.69372510338731,586.0,26.146428571428572,RDlerMRF3KjbmDvXNhs8SA,winter
2019-05,-12.98410110828965,-76.15814577405516,416.0,19.70357142857143,CAoSFkNJSE0wb2dLRUlDQWdJRHFyWXUwYWc.,spring
2024-04,-13.50739499007791,-43.46739907917887,428.0,26.77857142857143,QmuiE7SZh2cNDiSRg-y7fw,spring
2018-12,-13.68352789492754,-63.82557677210207,150.0,25.967857142857145,CAoSF0NJSE0wb2dLRUlDQWdJRDQ4WWZVc0FF,winter
2025-03,-13.72353441850981,-54.90682499711487,536.0,24.75714285714286,2eTGLSBs87gUqbIhDtGb4g,spring
2025-09,-13.98405897737327,-68.97420852965253,701.0,22.34642857142857,Rwd-NEsPRKPRwtuFgZ_DKg,fall
2022-10,-14.01023432759182,-40.46512106900615,514.0,23.042857142857144,CAoSF0NJSE0wb2dLRUlDQWdJRGV2OEdTNmdF,fall
2022-03,-14.09994153540669,-56.61632143324817,462.0,24.25,CAoSF0NJSE0wb2dLRUlDQWdJQ1d4Ykg3NUFF,spring
2023-01,-14.11735657354195,-66.73860675577353,166.0,26.396428571428572,CAoSFkNJSE0wb2dLRUlDQWdJREJ5OFBFV1E.,winter
2022-08,-14.64636295821694,-64.27699177007878,162.0,23.675,CAoSF0NJSE0wb2dLRUlDQWdJRHVrZHFEdXdF,summer
2022-01,-14.67696669499409,-68.44862136253694,1624.0,18.982142857142858,CAoSF0NJSE0wb2dLRUlDQWdJRG10b1NHOFFF,winter
2025-08,-14.81939162447696,-69.84907821968991,3901.0,7.175,EewfPFcibVZmEpEtnb_Khg,summer
2021-11,-14.8610149834573,-66.74262858883121,193.0,25.62857142857143,CAoSFkNJSE0wb2dLRUlDQWdJREd3S0M2ZlE.,fall
2022-09,-15.07753971624156,-57.94333289451751,191.0,26.13214285714286,CAoSF0NJSE0wb2dLRUlDQWdJRGU4b1BMZ0FF,fall
2022-07,-15.27445601261167,-56.74073407647287,374.0,25.63214285714286,CAoSF0NJSE0wb2dLRUlDQWdJRE95cTczM1FF,summer
